lower_ci,upper_ci,method,n,iter
0.8845462396216663,7.077647619661162,robust,100,110
0.766,1.16,trad,1000,110
0.5694435968600704,1.356082680203191,robust,1000,110
-0.365,1.304,trad,10,111
-0.1986055495661238,1.1376417322516368,robust,10,111
-0.345,1.016,trad,100,111
-0.9133046957120483,1.584881515714988,robust,100,111
0.847,1.302,trad,1000,111
0.6421923684475228,1.5064762869306585,robust,1000,111
0.156,3.298,trad,10,112
0.7124748234323792,2.7408171613767616,robust,10,112
0.494,1.798,trad,100,112
0.20879170913534573,2.0829962979896908,robust,100,112
0.561,0.978,trad,1000,112
0.39862868564755294,1.139706431206767,robust,1000,112
-2.956,3.058,trad,10,113
-2.5340752029927884,2.6362716432836972,robust,10,113
0.774,1.721,trad,100,113
0.5182701608740508,1.9757794629552463,robust,100,113
0.944,1.338,trad,1000,113
